yearweek_dt,unit_sales_FOODS_2_044,unit_sales_FOODS_3_030,unit_sales_FOODS_3_185,unit_sales_FOODS_3_393,unit_sales_HOBBIES_1_418,unit_sales_HOUSEHOLD_1_219,unit_sales_HOUSEHOLD_1_416,sell_price_FOODS_2_044,sell_price_FOODS_3_030,sell_price_FOODS_3_185,sell_price_FOODS_3_393,sell_price_HOBBIES_1_418,sell_price_HOUSEHOLD_1_219,sell_price_HOUSEHOLD_1_416,month,yearmonth,wm_yr_wk,yeariso,weekiso,CCI_USA,event_name_1,event_name_2,snap_CA
2013-07-14,9.0,66.0,0.0,54.0,0.0,0.0,22.0,2.5,1.38,2.18,3.5,3.98,6.98,3.47,July,201307,11324,2013,27,99.64718,,,1.0
2013-07-21,6.0,62.0,0.0,48.0,2.0,0.0,15.0,2.5,1.38,2.18,3.5,3.98,6.98,3.47,July,201307,11325,2013,28,99.64718,,,0.0
2013-07-28,4.0,38.0,0.0,63.0,3.0,0.0,13.0,2.5,1.38,2.18,3.5,3.98,6.48,3.47,July,201307,11326,2013,29,99.64718,,,0.0
2013-08-04,11.0,45.0,0.0,39.0,0.0,9.0,15.0,2.5,1.38,2.18,3.5,3.98,6.48,3.47,July,201307,11327,2013,30,99.64718,,,0.0
2013-08-11,4.0,49.0,0.0,20.0,4.0,9.0,13.0,2.5,1.38,2.18,3.5,3.98,6.48,3.47,August,201308,11328,2013,31,99.3448,,,1.0
2013-08-18,10.0,149.0,0.0,25.0,4.0,9.0,8.0,2.5,1.0,2.18,3.5,3.98,6.48,3.47,August,201308,11329,2013,32,99.3448,,,0.0
2013-08-25,12.0,226.0,0.0,54.0,1.0,12.0,18.0,2.5,1.0,2.25,3.5,3.98,6.48,3.47,August,201308,11330,2013,33,99.3448,,,0.0
2013-09-01,4.0,179.0,17.0,44.0,5.0,12.0,18.0,2.5,1.0,2.25,3.5,3.98,6.48,3.47,August,201308,11331,2013,34,99.3448,,,0.0
2013-09-08,4.0,189.0,11.0,30.0,2.0,6.0,18.0,2.5,1.0,2.25,3.5,3.98,6.48,3.47,September,201309,11332,2013,35,98.9345,,,1.0
2013-09-15,9.0,293.0,19.0,15.0,1.0,14.0,27.0,2.5,1.0,2.25,3.5,3.98,6.48,3.47,September,201309,11333,2013,36,98.9345,,,1.0
2013-09-22,13.0,185.0,12.0,45.0,3.0,13.0,19.0,2.5,1.0,2.25,3.5,3.98,6.48,3.47,September,201309,11334,2013,37,98.9345,,,0.0
2013-09-29,6.0,92.0,15.0,48.0,2.0,12.0,20.0,2.5,1.0,2.25,3.5,3.98,6.48,3.47,September,201309,11335,2013,38,98.9345,,,0.0
2013-10-06,4.0,83.0,23.0,43.0,1.0,15.0,12.0,2.5,1.0,2.25,3.5,3.98,6.48,3.47,September,201309,11336,2013,39,98.9345,,,0.0
2013-10-13,3.0,48.0,32.0,21.0,6.0,11.0,19.0,2.5,1.38,2.25,3.5,3.98,6.48,3.47,October,201310,11337,2013,40,98.68085,,,1.0
2013-10-20,3.0,50.0,24.0,30.0,1.0,10.0,9.0,2.5,1.38,2.25,3.5,3.98,6.48,3.66,October,201310,11338,2013,41,98.68085,,,0.0
2013-10-27,0.0,68.0,16.0,34.0,2.0,12.0,14.0,2.5,1.38,2.25,3.5,3.98,6.48,3.66,October,201310,11339,2013,42,98.68085,,,0.0
2013-11-03,6.0,60.0,7.0,79.0,1.0,13.0,8.0,2.5,1.38,2.25,3.5,3.98,6.48,3.66,October,201310,11340,2013,43,98.68085,,,0.0
2013-11-10,2.0,55.0,11.0,45.0,2.0,11.0,10.0,2.5,1.38,2.25,3.5,3.98,6.48,3.66,November,201311,11341,2013,44,98.78904,,,1.0
2013-11-17,0.0,52.0,4.0,43.0,2.0,15.0,12.0,2.5,1.0,2.25,3.5,3.98,6.48,3.66,November,201311,11342,2013,45,98.78904,,,1.0
2013-11-24,0.0,135.0,5.0,68.0,3.0,6.0,8.0,2.5,1.0,2.25,3.5,3.98,6.48,3.66,November,201311,11343,2013,46,98.78904,,,0.0
2013-12-01,0.0,317.0,8.0,40.0,2.0,18.0,5.0,2.5,1.0,2.25,3.5,3.98,6.48,3.66,November,201311,11344,2013,47,98.78904,,,0.0
2013-12-08,0.0,208.0,4.0,20.0,2.0,10.0,10.0,2.5,1.0,2.25,3.5,3.98,6.48,3.66,December,201312,11345,2013,48,99.11606,,,1.0
2013-12-15,0.0,204.0,7.0,23.0,2.0,38.0,6.0,2.5,1.0,2.25,3.5,3.98,6.48,3.66,December,201312,11346,2013,49,99.11606,,,1.0
2013-12-22,0.0,237.0,6.0,33.0,0.0,17.0,10.0,2.5,1.0,2.25,3.5,3.98,6.48,3.66,December,201312,11347,2013,50,99.11606,,,0.0
2013-12-29,0.0,166.0,5.0,24.0,0.0,19.0,6.0,2.5,1.0,2.25,3.5,3.98,6.48,3.66,December,201312,11348,2013,51,99.11606,,,0.0
2014-01-05,0.0,353.0,7.0,19.0,2.0,14.0,9.0,2.5,1.0,2.25,3.5,3.98,6.48,3.66,December,201312,11349,2013,52,99.11606,,,0.0
2014-01-12,7.0,483.0,17.0,19.0,4.0,13.0,3.0,2.5,1.0,2.25,3.5,3.98,6.48,3.66,January,201401,11350,2014,1,99.30221,,,0.0
2014-01-19,8.0,101.0,17.0,23.0,3.0,6.0,3.0,2.5,1.38,2.25,3.5,3.98,6.48,3.66,January,201401,11351,2014,2,99.30221,,,0.0
2014-01-26,13.0,108.0,15.0,27.0,1.0,4.0,6.0,2.5,1.38,2.25,3.5,3.98,6.48,3.66,January,201401,11352,2014,3,99.30221,,,0.0
2014-02-02,8.0,0.0,11.0,40.0,1.0,8.0,5.0,2.5,1.38,2.25,3.5,3.98,6.48,3.66,January,201401,11353,2014,4,99.30221,,,0.0
2014-02-09,8.0,0.0,3.0,40.0,2.0,3.0,7.0,2.5,1.38,2.25,3.5,3.98,6.48,3.66,February,201402,11401,2014,5,99.37769,SuperBowl,,1.0
2014-02-16,8.0,68.0,8.0,22.0,7.0,2.0,2.0,2.5,1.38,2.25,3.5,3.98,6.48,3.66,February,201402,11402,2014,6,99.37769,,,1.0
2014-02-23,9.0,58.0,6.0,29.0,0.0,10.0,4.0,2.5,1.38,2.25,3.5,3.98,6.48,3.66,February,201402,11403,2014,7,99.37769,,,0.0
